case_id,Case ID number
ffi_a_non,NEO-FFI A Nonantagonistic Orientation
ffi_a_pro,NEO-FFI A Prosocial Orientation
ffi_c_ord,NEO-FFI C Orderliness
ffi_c_goa,NEO-FFI C Goal-Striving
ffi_c_dep,NEO-FFI C Dependability
ffi_n_neg,NEO-FFI N Negative Affect
ffi_n_sel,NEO-FFI N Self-Reproach
ffi_o_aes,NEO-FFI O Aesthetic Interests
ffi_o_int,NEO-FFI O Intellectual Interests
ffi_o_unc,NEO-FFI O Unconventionality
tneo_e,TNEO Extraversion (factor)
tneo_a,TNEO Agreeableness (factor)
tneo_c,TNEO Conscientiousness (factor)
tneo_n,TNEO Neuroticism (factor)
tneo_o,TNEO Openness (factor)
tneo_e1_war,TNEO E1 Warmth
tneo_e2_gre,TNEO E2 Gregariousness
tneo_e3_ass,TNEO E3 Assertiveness
tneo_e4_act,TNEO E4 Activity
tneo_e5_exc,TNEO E5 Excitement-Seeking
tneo_e6_pos,TNEO E6 Positive Emotions
tneo_a1_tru,TNEO A1 Trust
tneo_a2_str,TNEO A2 Straightforwardness
tneo_a3_alt,TNEO A3 Altruism
tneo_a4_com,TNEO A4 Compliance
tneo_a5_mod,TNEO A5 Modesty
tneo_a6_ten,TNEO A6 Tender-Mindedness
tneo_c1_com,TNEO C1 Competence
tneo_c2_ord,TNEO C2 Order
tneo_c3_dut,TNEO C3 Dutifulness
tneo_c4_ach,TNEO C4 Achievement Striving
tneo_c5_sel,TNEO C5 Self-Discipline
tneo_c6_del,TNEO C6 Deliberation
tneo_n1_anx,TNEO N1 Anxiety
tneo_n2_ang,TNEO N2 Angry Hostility
tneo_n3_dep,TNEO N3 Depression
tneo_n4_sel,TNEO N4 Self-Consciousness
tneo_n5_imp,TNEO N5 Impulsiveness
tneo_n6_vul,TNEO N6 Vulnerability
tneo_o1_fan,TNEO O1 Fantasy
tneo_o2_aes,TNEO O2 Aesthetics
tneo_o3_fee,TNEO O3 Feelings
tneo_o4_act,TNEO O4 Actions
tneo_o5_ide,TNEO O5 Ideas
tneo_o6_val,TNEO O6 Values
